geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,360385,07/05/21 - 07/11/21,3485609,43265153.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,360385,07/05/21 - 07/11/21,962,11940.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,360385,07/05/21 - 07/11/21,2326,28871.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,360385,07/05/21 - 07/11/21,4236,52579.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,360385,07/05/21 - 07/11/21,8227,102117.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,360385,07/05/21 - 07/11/21,5015,62248.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,360385,07/05/21 - 07/11/21,472,5858.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,360385,07/05/21 - 07/11/21,150,1861.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,360385,07/05/21 - 07/11/21,1003,12449.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,360385,07/05/21 - 07/11/21,179700,2230527.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,360385,07/05/21 - 07/11/21,153666,1907380.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,360385,07/05/21 - 07/11/21,2021,25085.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,360385,07/05/21 - 07/11/21,693,8601.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,360385,07/05/21 - 07/11/21,6419,79675.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,360385,07/05/21 - 07/11/21,5602,69534.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,360385,07/05/21 - 07/11/21,1146,14224.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,360385,07/05/21 - 07/11/21,1341,16645.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,360385,07/05/21 - 07/11/21,8913,110632.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,360385,07/05/21 - 07/11/21,16431,203949.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,360385,07/05/21 - 07/11/21,1080,13405.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,360385,07/05/21 - 07/11/21,1885,23397.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,360385,07/05/21 - 07/11/21,1454,18047.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,360385,07/05/21 - 07/11/21,3660,45429.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,360385,07/05/21 - 07/11/21,1271,15776.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,360385,07/05/21 - 07/11/21,51910,644333.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,360385,07/05/21 - 07/11/21,5141,63812.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,360385,07/05/21 - 07/11/21,2033,25234.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,360385,07/05/21 - 07/11/21,775,9619.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,360385,07/05/21 - 07/11/21,5039,62546.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,360385,07/05/21 - 07/11/21,233,2892.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,360385,07/05/21 - 07/11/21,1362,16905.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,360385,07/05/21 - 07/11/21,1222,15168.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,360385,07/05/21 - 07/11/21,5199,64532.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,360385,07/05/21 - 07/11/21,10842,134576.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,360385,07/05/21 - 07/11/21,211,2619.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,360385,07/05/21 - 07/11/21,4929,61181.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,360385,07/05/21 - 07/11/21,3249,40328.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,360385,07/05/21 - 07/11/21,1015,12598.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,360385,07/05/21 - 07/11/21,3180,39471.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,360385,07/05/21 - 07/11/21,136,1688.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,360385,07/05/21 - 07/11/21,10472,129983.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,360385,07/05/21 - 07/11/21,1183,14683.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,360385,07/05/21 - 07/11/21,72836,904077.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,360385,07/05/21 - 07/11/21,19619,243521.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,360385,07/05/21 - 07/11/21,2029,25184.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,360385,07/05/21 - 07/11/21,179,2221.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,360385,07/05/21 - 07/11/21,5253,65202.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,360385,07/05/21 - 07/11/21,1924,23881.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,360385,07/05/21 - 07/11/21,925,11481.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,360385,07/05/21 - 07/11/21,1271,15776.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,360385,07/05/21 - 07/11/21,1798,22317.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,18293,07/05/21 - 07/11/21,285,9859.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,18293,07/05/21 - 07/11/21,129756,4489006.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,18293,07/05/21 - 07/11/21,842,29129.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,18293,07/05/21 - 07/11/21,82,2836.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,18293,07/05/21 - 07/11/21,2132,73758.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,18293,07/05/21 - 07/11/21,748,25877.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,18293,07/05/21 - 07/11/21,66,2283.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,18293,07/05/21 - 07/11/21,12,415.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,18293,07/05/21 - 07/11/21,8,276.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,18293,07/05/21 - 07/11/21,954,33004.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,18293,07/05/21 - 07/11/21,313,10828.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,18293,07/05/21 - 07/11/21,437,15118.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,18293,07/05/21 - 07/11/21,436,15083.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,18293,07/05/21 - 07/11/21,389,13457.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,18293,07/05/21 - 07/11/21,150,5189.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,18293,07/05/21 - 07/11/21,131,4532.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,18293,07/05/21 - 07/11/21,101,3494.0
02,21,-151.59342192189865,63.742989015090714,-85.29055223275348,37.5266141736611,18293,07/05/21 - 07/11/21,137,4739.0
02,22,-151.59342192189865,63.742989015090714,-91.81423318426776,30.909072897746587,18293,07/05/21 - 07/11/21,194,6711.0
02,23,-151.59342192189865,63.742989015090714,-69.20275986278288,45.27432853102379,18293,07/05/21 - 07/11/21,102,3528.0
02,24,-151.59342192189865,63.742989015090714,-76.68717734070172,38.94649396258224,18293,07/05/21 - 07/11/21,68,2352.0
02,25,-151.59342192189865,63.742989015090714,-71.503972041848,42.16009326868467,18293,07/05/21 - 07/11/21,77,2663.0
02,26,-151.59342192189865,63.742989015090714,-85.73095291151436,44.874773603554175,18293,07/05/21 - 07/11/21,144,4981.0
02,27,-151.59342192189865,63.742989015090714,-94.19830560457335,46.3491103788664,18293,07/05/21 - 07/11/21,521,18024.0
02,28,-151.59342192189865,63.742989015090714,-89.6533594096457,32.712892273261986,18293,07/05/21 - 07/11/21,44,1522.0
02,29,-151.59342192189865,63.742989015090714,-92.4774251950813,38.3676304410753,18293,07/05/21 - 07/11/21,235,8130.0
02,30,-151.59342192189865,63.742989015090714,-109.64520698796639,47.03342111039991,18293,07/05/21 - 07/11/21,307,10620.0
02,31,-151.59342192189865,63.742989015090714,-99.81085586033895,41.527151125231704,18293,07/05/21 - 07/11/21,162,5604.0
02,32,-151.59342192189865,63.742989015090714,-116.65524866805762,39.356185873030874,18293,07/05/21 - 07/11/21,680,23525.0
02,34,-151.59342192189865,63.742989015090714,-74.65561230865505,40.11017985292258,18293,07/05/21 - 07/11/21,115,3978.0
02,35,-151.59342192189865,63.742989015090714,-106.1084438818861,34.42130099474041,18293,07/05/21 - 07/11/21,93,3217.0
02,36,-151.59342192189865,63.742989015090714,-75.59654322164518,42.92123354806042,18293,07/05/21 - 07/11/21,176,6088.0
02,37,-151.59342192189865,63.742989015090714,-79.13090891837648,35.52603039243236,18293,07/05/21 - 07/11/21,257,8891.0
02,38,-151.59342192189865,63.742989015090714,-100.4693907950372,47.446310421753914,18293,07/05/21 - 07/11/21,87,3009.0
02,39,-151.59342192189865,63.742989015090714,-82.70937700691621,40.415486910016135,18293,07/05/21 - 07/11/21,265,9167.0
02,40,-151.59342192189865,63.742989015090714,-97.50822793037422,35.583464652524235,18293,07/05/21 - 07/11/21,274,9479.0
02,41,-151.59342192189865,63.742989015090714,-120.60525631019901,43.94045138675371,18293,07/05/21 - 07/11/21,725,25081.0
02,42,-151.59342192189865,63.742989015090714,-77.83893800628347,40.896700506452106,18293,07/05/21 - 07/11/21,229,7922.0
02,45,-151.59342192189865,63.742989015090714,-80.86459715523999,33.87785606967731,18293,07/05/21 - 07/11/21,100,3459.0
02,46,-151.59342192189865,63.742989015090714,-100.23046550270404,44.43613758926095,18293,07/05/21 - 07/11/21,89,3079.0
02,47,-151.59342192189865,63.742989015090714,-86.34341233023729,35.84298014361061,18293,07/05/21 - 07/11/21,249,8614.0
02,48,-151.59342192189865,63.742989015090714,-99.31712096957119,31.447212191842507,18293,07/05/21 - 07/11/21,1501,51928.0
02,49,-151.59342192189865,63.742989015090714,-111.67824995489637,39.32376871301901,18293,07/05/21 - 07/11/21,487,16848.0
02,50,-151.59342192189865,63.742989015090714,-72.66263037415419,44.075248233178044,18293,07/05/21 - 07/11/21,33,1141.0
02,51,-151.59342192189865,63.742989015090714,-78.66634949421768,37.510873096830124,18293,07/05/21 - 07/11/21,141,4878.0
02,53,-151.59342192189865,63.742989015090714,-120.59289987466929,47.41163921872467,18293,07/05/21 - 07/11/21,3102,107316.0
02,54,-151.59342192189865,63.742989015090714,-80.61370689717069,38.64256709677395,18293,07/05/21 - 07/11/21,59,2041.0
02,55,-151.59342192189865,63.742989015090714,-89.73293305821664,44.63994410730462,18293,07/05/21 - 07/11/21,255,8821.0
02,56,-151.59342192189865,63.742989015090714,-107.55139421018254,42.9995374625361,18293,07/05/21 - 07/11/21,81,2802.0
04,01,-111.6644603390921,34.29309519459149,-86.8445209956579,32.75687994183124,265048,07/05/21 - 07/11/21,1565,34014.0
04,02,-111.6644603390921,34.29309519459149,-151.59342192189865,63.742989015090714,265048,07/05/21 - 07/11/21,1873,40709.0
04,04,-111.6644603390921,34.29309519459149,-111.6644603390921,34.29309519459149,265048,07/05/21 - 07/11/21,2339864,50856181.0
04,05,-111.6644603390921,34.29309519459149,-92.43923686174863,34.8997724175194,265048,07/05/21 - 07/11/21,1548,33645.0
04,06,-111.6644603390921,34.29309519459149,-119.6638458867405,37.21530826027419,265048,07/05/21 - 07/11/21,148564,3228990.0
04,08,-111.6644603390921,34.29309519459149,-105.5478211203382,38.99853159698931,265048,07/05/21 - 07/11/21,19755,429368.0
04,09,-111.6644603390921,34.29309519459149,-72.73825767764087,41.575164149895755,265048,07/05/21 - 07/11/21,845,18365.0
04,10,-111.6644603390921,34.29309519459149,-75.45249262811352,38.99497528640457,265048,07/05/21 - 07/11/21,320,6955.0
04,11,-111.6644603390921,34.29309519459149,-77.0162909035438,38.90477388790585,265048,07/05/21 - 07/11/21,690,14996.0
04,12,-111.6644603390921,34.29309519459149,-82.46641838867941,28.477058414990193,265048,07/05/21 - 07/11/21,16501,358643.0
04,13,-111.6644603390921,34.29309519459149,-83.42714021377525,32.63861711465618,265048,07/05/21 - 07/11/21,3789,82352.0
04,15,-111.6644603390921,34.29309519459149,-158.1099738068461,20.995111199008356,265048,07/05/21 - 07/11/21,12546,272683.0
04,16,-111.6644603390921,34.29309519459149,-114.6594139607683,44.389055086057056,265048,07/05/21 - 07/11/21,5356,116410.0
04,17,-111.6644603390921,34.29309519459149,-89.14863899339443,40.124200826969364,265048,07/05/21 - 07/11/21,11093,241102.0
04,18,-111.6644603390921,34.29309519459149,-86.28183838774677,39.919869617318085,265048,07/05/21 - 07/11/21,3350,72811.0
04,19,-111.6644603390921,34.29309519459149,-93.50009011569544,42.07464832674591,265048,07/05/21 - 07/11/21,2745,59661.0
04,20,-111.6644603390921,34.29309519459149,-98.38015540415404,38.484727072453566,265048,07/05/21 - 07/11/21,2263,49185.0
04,21,-111.6644603390921,34.29309519459149,-85.29055223275348,37.5266141736611,265048,07/05/21 - 07/11/21,1161,25233.0
04,22,-111.6644603390921,34.29309519459149,-91.81423318426776,30.909072897746587,265048,07/05/21 - 07/11/21,2118,46034.0
04,23,-111.6644603390921,34.29309519459149,-69.20275986278288,45.27432853102379,265048,07/05/21 - 07/11/21,964,20952.0
04,24,-111.6644603390921,34.29309519459149,-76.68717734070172,38.94649396258224,265048,07/05/21 - 07/11/21,1466,31863.0
04,25,-111.6644603390921,34.29309519459149,-71.503972041848,42.16009326868467,265048,07/05/21 - 07/11/21,2932,63726.0
04,26,-111.6644603390921,34.29309519459149,-85.73095291151436,44.874773603554175,265048,07/05/21 - 07/11/21,6336,137710.0
04,27,-111.6644603390921,34.29309519459149,-94.19830560457335,46.3491103788664,265048,07/05/21 - 07/11/21,4587,99696.0
04,28,-111.6644603390921,34.29309519459149,-89.6533594096457,32.712892273261986,265048,07/05/21 - 07/11/21,755,16409.0
04,29,-111.6644603390921,34.29309519459149,-92.4774251950813,38.3676304410753,265048,07/05/21 - 07/11/21,5508,119714.0
04,30,-111.6644603390921,34.29309519459149,-109.64520698796639,47.03342111039991,265048,07/05/21 - 07/11/21,3956,85982.0
