geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,04/26/21 - 05/02/21,3910190,50865556.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,04/26/21 - 05/02/21,126,1639.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,04/26/21 - 05/02/21,1962,25522.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,04/26/21 - 05/02/21,2815,36618.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,04/26/21 - 05/02/21,3082,40092.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,04/26/21 - 05/02/21,1886,24533.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,04/26/21 - 05/02/21,321,4175.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,04/26/21 - 05/02/21,89,1157.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,04/26/21 - 05/02/21,197,2562.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,04/26/21 - 05/02/21,106753,1388692.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,04/26/21 - 05/02/21,103488,1346219.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,04/26/21 - 05/02/21,1098,14283.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,04/26/21 - 05/02/21,285,3707.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,04/26/21 - 05/02/21,3018,39259.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,04/26/21 - 05/02/21,2702,35148.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,04/26/21 - 05/02/21,728,9470.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,04/26/21 - 05/02/21,782,10172.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,04/26/21 - 05/02/21,4821,62713.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,04/26/21 - 05/02/21,10415,135483.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,04/26/21 - 05/02/21,180,2341.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,04/26/21 - 05/02/21,832,10823.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,04/26/21 - 05/02/21,425,5528.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,04/26/21 - 05/02/21,2076,27005.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,04/26/21 - 05/02/21,673,8754.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,04/26/21 - 05/02/21,47535,618357.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,04/26/21 - 05/02/21,2898,37698.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,04/26/21 - 05/02/21,483,6283.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,04/26/21 - 05/02/21,458,5957.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,04/26/21 - 05/02/21,2886,37542.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,04/26/21 - 05/02/21,134,1743.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,04/26/21 - 05/02/21,766,9964.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,04/26/21 - 05/02/21,518,6738.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,04/26/21 - 05/02/21,1224,15922.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,04/26/21 - 05/02/21,5199,67630.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,04/26/21 - 05/02/21,72,936.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,04/26/21 - 05/02/21,2619,34069.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,04/26/21 - 05/02/21,1359,17678.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,04/26/21 - 05/02/21,260,3382.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,04/26/21 - 05/02/21,1773,23064.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,04/26/21 - 05/02/21,40,520.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,04/26/21 - 05/02/21,4940,64261.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,04/26/21 - 05/02/21,494,6426.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,04/26/21 - 05/02/21,49359,642084.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,04/26/21 - 05/02/21,11055,143808.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,04/26/21 - 05/02/21,720,9366.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,04/26/21 - 05/02/21,52,676.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,04/26/21 - 05/02/21,3017,39246.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,04/26/21 - 05/02/21,634,8247.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,04/26/21 - 05/02/21,352,4578.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,04/26/21 - 05/02/21,1148,14933.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,04/26/21 - 05/02/21,343,4461.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,04/26/21 - 05/02/21,200,8540.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,04/26/21 - 05/02/21,128562,5489774.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,04/26/21 - 05/02/21,833,35570.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,04/26/21 - 05/02/21,24,1024.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,04/26/21 - 05/02/21,835,35655.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,04/26/21 - 05/02/21,588,25108.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,04/26/21 - 05/02/21,12,512.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,04/26/21 - 05/02/21,12,512.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,04/26/21 - 05/02/21,1023,43683.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,04/26/21 - 05/02/21,194,8284.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,04/26/21 - 05/02/21,735,31385.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,04/26/21 - 05/02/21,237,10120.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,04/26/21 - 05/02/21,182,7771.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,04/26/21 - 05/02/21,58,2476.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,04/26/21 - 05/02/21,28,1195.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,04/26/21 - 05/02/21,86,3672.0
02,21,-151.59342192189865,63.742989015090714,-85.29055223275348,37.5266141736611,04/26/21 - 05/02/21,124,5294.0
02,22,-151.59342192189865,63.742989015090714,-91.81423318426776,30.909072897746587,04/26/21 - 05/02/21,116,4953.0
02,23,-151.59342192189865,63.742989015090714,-69.20275986278288,45.27432853102379,04/26/21 - 05/02/21,139,5935.0
02,24,-151.59342192189865,63.742989015090714,-76.68717734070172,38.94649396258224,04/26/21 - 05/02/21,40,1708.0
02,25,-151.59342192189865,63.742989015090714,-71.503972041848,42.16009326868467,04/26/21 - 05/02/21,113,4825.0
02,26,-151.59342192189865,63.742989015090714,-85.73095291151436,44.874773603554175,04/26/21 - 05/02/21,265,11315.0
02,27,-151.59342192189865,63.742989015090714,-94.19830560457335,46.3491103788664,04/26/21 - 05/02/21,156,6661.0
02,28,-151.59342192189865,63.742989015090714,-89.6533594096457,32.712892273261986,04/26/21 - 05/02/21,89,3800.0
