geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,census_block_group,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,36939290992321,01/18/21 - 01/24/21,2988155,39196643.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,36939290992321,01/18/21 - 01/24/21,124,1626.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,36939290992321,01/18/21 - 01/24/21,1086,14245.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,36939290992321,01/18/21 - 01/24/21,2098,27520.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,36939290992321,01/18/21 - 01/24/21,1549,20318.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,36939290992321,01/18/21 - 01/24/21,1942,25473.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,36939290992321,01/18/21 - 01/24/21,98,1285.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,36939290992321,01/18/21 - 01/24/21,65,852.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,36939290992321,01/18/21 - 01/24/21,484,6348.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,36939290992321,01/18/21 - 01/24/21,44000,577162.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,36939290992321,01/18/21 - 01/24/21,74240,973831.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,36939290992321,01/18/21 - 01/24/21,167,2190.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,36939290992321,01/18/21 - 01/24/21,131,1718.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,36939290992321,01/18/21 - 01/24/21,1632,21407.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,36939290992321,01/18/21 - 01/24/21,1575,20659.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,36939290992321,01/18/21 - 01/24/21,386,5063.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,36939290992321,01/18/21 - 01/24/21,491,6440.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,36939290992321,01/18/21 - 01/24/21,2489,32649.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,36939290992321,01/18/21 - 01/24/21,5523,72447.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,36939290992321,01/18/21 - 01/24/21,33,432.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,36939290992321,01/18/21 - 01/24/21,651,8539.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,36939290992321,01/18/21 - 01/24/21,138,1810.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,36939290992321,01/18/21 - 01/24/21,663,8696.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,36939290992321,01/18/21 - 01/24/21,276,3620.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,36939290992321,01/18/21 - 01/24/21,37794,495756.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,36939290992321,01/18/21 - 01/24/21,1483,19453.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,36939290992321,01/18/21 - 01/24/21,293,3843.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,36939290992321,01/18/21 - 01/24/21,237,3108.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,36939290992321,01/18/21 - 01/24/21,929,12186.0
