geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,364694,11/08/21 - 11/14/21,4020257,50196071.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,364694,11/08/21 - 11/14/21,208,2597.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,364694,11/08/21 - 11/14/21,1600,19977.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,364694,11/08/21 - 11/14/21,2602,32488.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,364694,11/08/21 - 11/14/21,4359,54425.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,364694,11/08/21 - 11/14/21,1731,21612.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,364694,11/08/21 - 11/14/21,174,2172.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,364694,11/08/21 - 11/14/21,105,1311.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,364694,11/08/21 - 11/14/21,443,5531.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,364694,11/08/21 - 11/14/21,72457,904682.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,364694,11/08/21 - 11/14/21,113370,1415513.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,364694,11/08/21 - 11/14/21,525,6555.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,364694,11/08/21 - 11/14/21,193,2409.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,364694,11/08/21 - 11/14/21,3960,49443.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,364694,11/08/21 - 11/14/21,3039,37944.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,364694,11/08/21 - 11/14/21,777,9701.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,364694,11/08/21 - 11/14/21,869,10850.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,364694,11/08/21 - 11/14/21,6123,76450.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,364694,11/08/21 - 11/14/21,9647,120450.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,364694,11/08/21 - 11/14/21,236,2946.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,364694,11/08/21 - 11/14/21,970,12111.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,364694,11/08/21 - 11/14/21,1068,13334.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,364694,11/08/21 - 11/14/21,1288,16081.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,364694,11/08/21 - 11/14/21,528,6592.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,364694,11/08/21 - 11/14/21,48080,600316.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,364694,11/08/21 - 11/14/21,3411,42589.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,364694,11/08/21 - 11/14/21,209,2609.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,364694,11/08/21 - 11/14/21,392,4894.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,364694,11/08/21 - 11/14/21,2871,35846.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,364694,11/08/21 - 11/14/21,127,1585.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,364694,11/08/21 - 11/14/21,808,10088.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,364694,11/08/21 - 11/14/21,623,7778.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,364694,11/08/21 - 11/14/21,3289,41065.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,364694,11/08/21 - 11/14/21,6607,82493.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,364694,11/08/21 - 11/14/21,64,799.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,364694,11/08/21 - 11/14/21,2473,30877.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,364694,11/08/21 - 11/14/21,1321,16493.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,364694,11/08/21 - 11/14/21,293,3658.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,364694,11/08/21 - 11/14/21,1866,23298.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,364694,11/08/21 - 11/14/21,56,699.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,364694,11/08/21 - 11/14/21,4930,61554.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,364694,11/08/21 - 11/14/21,264,3296.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,364694,11/08/21 - 11/14/21,69040,862018.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,364694,11/08/21 - 11/14/21,11877,148293.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,364694,11/08/21 - 11/14/21,509,6355.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,364694,11/08/21 - 11/14/21,60,749.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,364694,11/08/21 - 11/14/21,3334,41627.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,364694,11/08/21 - 11/14/21,646,8065.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,364694,11/08/21 - 11/14/21,523,6530.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,364694,11/08/21 - 11/14/21,842,10513.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,364694,11/08/21 - 11/14/21,476,5943.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,364694,11/08/21 - 11/14/21,4,49.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,17364,11/08/21 - 11/14/21,81,3091.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,17364,11/08/21 - 11/14/21,130742,4990566.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,17364,11/08/21 - 11/14/21,1048,40003.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,17364,11/08/21 - 11/14/21,50,1908.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,17364,11/08/21 - 11/14/21,1441,55004.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,17364,11/08/21 - 11/14/21,272,10382.0
