geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,362111,09/06/21 - 09/12/21,3766430,47158440.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,362111,09/06/21 - 09/12/21,372,4657.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,362111,09/06/21 - 09/12/21,1459,18267.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,362111,09/06/21 - 09/12/21,2661,33317.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,362111,09/06/21 - 09/12/21,4082,51109.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,362111,09/06/21 - 09/12/21,2936,36760.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,362111,09/06/21 - 09/12/21,371,4645.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,362111,09/06/21 - 09/12/21,77,964.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,362111,09/06/21 - 09/12/21,243,3042.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,362111,09/06/21 - 09/12/21,84124,1053293.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,362111,09/06/21 - 09/12/21,110121,1378794.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,362111,09/06/21 - 09/12/21,706,8839.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,362111,09/06/21 - 09/12/21,324,4056.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,362111,09/06/21 - 09/12/21,3778,47303.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,362111,09/06/21 - 09/12/21,2859,35796.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,362111,09/06/21 - 09/12/21,875,10955.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,362111,09/06/21 - 09/12/21,783,9803.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,362111,09/06/21 - 09/12/21,5012,62753.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,362111,09/06/21 - 09/12/21,11562,144764.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,362111,09/06/21 - 09/12/21,616,7712.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,362111,09/06/21 - 09/12/21,1186,14849.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,362111,09/06/21 - 09/12/21,1193,14937.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,362111,09/06/21 - 09/12/21,2083,26080.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,362111,09/06/21 - 09/12/21,643,8050.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,362111,09/06/21 - 09/12/21,46284,579509.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,362111,09/06/21 - 09/12/21,3596,45024.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,362111,09/06/21 - 09/12/21,882,11043.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,362111,09/06/21 - 09/12/21,655,8201.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,362111,09/06/21 - 09/12/21,3248,40667.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,362111,09/06/21 - 09/12/21,235,2942.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,362111,09/06/21 - 09/12/21,778,9741.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,362111,09/06/21 - 09/12/21,572,7161.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,362111,09/06/21 - 09/12/21,3053,38225.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,362111,09/06/21 - 09/12/21,6082,76151.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,362111,09/06/21 - 09/12/21,243,3042.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,362111,09/06/21 - 09/12/21,3027,37900.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,362111,09/06/21 - 09/12/21,1161,14536.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,362111,09/06/21 - 09/12/21,329,4119.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,362111,09/06/21 - 09/12/21,1906,23864.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,362111,09/06/21 - 09/12/21,81,1014.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,362111,09/06/21 - 09/12/21,5544,69414.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,362111,09/06/21 - 09/12/21,347,4344.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,362111,09/06/21 - 09/12/21,50605,633611.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,362111,09/06/21 - 09/12/21,11081,138742.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,362111,09/06/21 - 09/12/21,688,8614.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,362111,09/06/21 - 09/12/21,57,713.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,362111,09/06/21 - 09/12/21,3787,47415.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,362111,09/06/21 - 09/12/21,1150,14398.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,362111,09/06/21 - 09/12/21,406,5083.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,362111,09/06/21 - 09/12/21,687,8601.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,362111,09/06/21 - 09/12/21,819,10254.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,362111,09/06/21 - 09/12/21,4,50.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,18049,09/06/21 - 09/12/21,191,6832.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,18049,09/06/21 - 09/12/21,133970,4792061.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,18049,09/06/21 - 09/12/21,1134,40562.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,18049,09/06/21 - 09/12/21,81,2897.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,18049,09/06/21 - 09/12/21,1654,59163.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,18049,09/06/21 - 09/12/21,459,16418.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,18049,09/06/21 - 09/12/21,12,429.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,18049,09/06/21 - 09/12/21,32,1144.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,18049,09/06/21 - 09/12/21,12,429.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,18049,09/06/21 - 09/12/21,729,26076.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,18049,09/06/21 - 09/12/21,385,13771.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,18049,09/06/21 - 09/12/21,770,27542.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,18049,09/06/21 - 09/12/21,438,15667.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,18049,09/06/21 - 09/12/21,335,11982.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,18049,09/06/21 - 09/12/21,158,5651.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,18049,09/06/21 - 09/12/21,74,2646.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,18049,09/06/21 - 09/12/21,46,1645.0
02,21,-151.59342192189865,63.742989015090714,-85.29055223275348,37.5266141736611,18049,09/06/21 - 09/12/21,72,2575.0
02,22,-151.59342192189865,63.742989015090714,-91.81423318426776,30.909072897746587,18049,09/06/21 - 09/12/21,139,4971.0
02,23,-151.59342192189865,63.742989015090714,-69.20275986278288,45.27432853102379,18049,09/06/21 - 09/12/21,98,3505.0
02,24,-151.59342192189865,63.742989015090714,-76.68717734070172,38.94649396258224,18049,09/06/21 - 09/12/21,116,4149.0
02,25,-151.59342192189865,63.742989015090714,-71.503972041848,42.16009326868467,18049,09/06/21 - 09/12/21,84,3004.0
02,26,-151.59342192189865,63.742989015090714,-85.73095291151436,44.874773603554175,18049,09/06/21 - 09/12/21,247,8835.0
02,27,-151.59342192189865,63.742989015090714,-94.19830560457335,46.3491103788664,18049,09/06/21 - 09/12/21,273,9765.0
02,28,-151.59342192189865,63.742989015090714,-89.6533594096457,32.712892273261986,18049,09/06/21 - 09/12/21,78,2790.0
02,29,-151.59342192189865,63.742989015090714,-92.4774251950813,38.3676304410753,18049,09/06/21 - 09/12/21,248,8870.0
02,30,-151.59342192189865,63.742989015090714,-109.64520698796639,47.03342111039991,18049,09/06/21 - 09/12/21,256,9157.0
02,31,-151.59342192189865,63.742989015090714,-99.81085586033895,41.527151125231704,18049,09/06/21 - 09/12/21,68,2432.0
02,32,-151.59342192189865,63.742989015090714,-116.65524866805762,39.356185873030874,18049,09/06/21 - 09/12/21,689,24645.0
02,33,-151.59342192189865,63.742989015090714,-71.57124316745634,43.6802370603039,18049,09/06/21 - 09/12/21,24,858.0
