geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,359456,08/09/21 - 08/15/21,3827117,48356764.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,359456,08/09/21 - 08/15/21,616,7783.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,359456,08/09/21 - 08/15/21,1420,17942.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,359456,08/09/21 - 08/15/21,3419,43200.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,359456,08/09/21 - 08/15/21,4401,55607.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,359456,08/09/21 - 08/15/21,3387,42795.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,359456,08/09/21 - 08/15/21,273,3449.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,359456,08/09/21 - 08/15/21,178,2249.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,359456,08/09/21 - 08/15/21,585,7391.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,359456,08/09/21 - 08/15/21,82280,1039632.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,359456,08/09/21 - 08/15/21,105836,1337269.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,359456,08/09/21 - 08/15/21,851,10752.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,359456,08/09/21 - 08/15/21,330,4169.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,359456,08/09/21 - 08/15/21,4235,53510.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,359456,08/09/21 - 08/15/21,3456,43667.0
