geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,number_devices_primary_daytime,date_range,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,367357,10/11/21 - 10/17/21,4022644,49561953.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,367357,10/11/21 - 10/17/21,147,1811.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,367357,10/11/21 - 10/17/21,2116,26070.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,367357,10/11/21 - 10/17/21,3278,40387.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,367357,10/11/21 - 10/17/21,4100,50515.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,367357,10/11/21 - 10/17/21,3303,40695.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,367357,10/11/21 - 10/17/21,369,4546.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,367357,10/11/21 - 10/17/21,49,603.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,367357,10/11/21 - 10/17/21,891,10977.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,367357,10/11/21 - 10/17/21,88122,1085728.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,367357,10/11/21 - 10/17/21,128997,1589338.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,367357,10/11/21 - 10/17/21,892,10990.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,367357,10/11/21 - 10/17/21,281,3462.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,367357,10/11/21 - 10/17/21,4341,53484.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,367357,10/11/21 - 10/17/21,3201,39438.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,367357,10/11/21 - 10/17/21,654,8057.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,367357,10/11/21 - 10/17/21,838,10324.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,367357,10/11/21 - 10/17/21,6852,84421.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,367357,10/11/21 - 10/17/21,11748,144744.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,367357,10/11/21 - 10/17/21,744,9166.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,367357,10/11/21 - 10/17/21,1316,16214.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,367357,10/11/21 - 10/17/21,1330,16386.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,367357,10/11/21 - 10/17/21,1636,20156.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,367357,10/11/21 - 10/17/21,518,6382.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,367357,10/11/21 - 10/17/21,52916,651964.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,367357,10/11/21 - 10/17/21,3229,39783.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,367357,10/11/21 - 10/17/21,435,5359.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,367357,10/11/21 - 10/17/21,360,4435.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,367357,10/11/21 - 10/17/21,3280,40412.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,367357,10/11/21 - 10/17/21,268,3301.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,367357,10/11/21 - 10/17/21,665,8193.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,367357,10/11/21 - 10/17/21,819,10090.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,367357,10/11/21 - 10/17/21,3400,41890.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,367357,10/11/21 - 10/17/21,7685,94684.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,367357,10/11/21 - 10/17/21,216,2661.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,367357,10/11/21 - 10/17/21,3049,37565.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,367357,10/11/21 - 10/17/21,1606,19787.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,367357,10/11/21 - 10/17/21,335,4127.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,367357,10/11/21 - 10/17/21,2621,32292.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,367357,10/11/21 - 10/17/21,181,2230.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,367357,10/11/21 - 10/17/21,6769,83399.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,367357,10/11/21 - 10/17/21,373,4595.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,367357,10/11/21 - 10/17/21,66680,821546.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,367357,10/11/21 - 10/17/21,11640,143413.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,367357,10/11/21 - 10/17/21,819,10090.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,367357,10/11/21 - 10/17/21,290,3573.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,367357,10/11/21 - 10/17/21,4366,53792.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,367357,10/11/21 - 10/17/21,588,7244.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,367357,10/11/21 - 10/17/21,699,8612.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,367357,10/11/21 - 10/17/21,863,10632.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,367357,10/11/21 - 10/17/21,576,7096.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,367357,10/11/21 - 10/17/21,4,49.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,18203,10/11/21 - 10/17/21,362,12810.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,18203,10/11/21 - 10/17/21,139198,4925979.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,18203,10/11/21 - 10/17/21,1017,35989.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,18203,10/11/21 - 10/17/21,105,3715.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,18203,10/11/21 - 10/17/21,1992,70493.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,18203,10/11/21 - 10/17/21,499,17658.0
02,09,-151.59342192189865,63.742989015090714,-72.73825767764087,41.575164149895755,18203,10/11/21 - 10/17/21,50,1769.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,18203,10/11/21 - 10/17/21,20,707.0
